Topic,Count,Name,Representation,Representative_Docs
19,760,19_excellent_amazing_amazing amazing_awesome,"['excellent', 'amazing', 'amazing amazing', 'awesome', 'outstanding', 'great', 'fantastic', 'superb', 'amazing great', 'usual']","['excellent 😍😍😍', 'Excellent 👌', 'Amazing excellent']"
20,702,20_good quantity_quantity taste_quantity_taste good,"['good quantity', 'quantity taste', 'quantity', 'taste good', 'quantity low', 'low taste', 'low', 'taste', 'taste quantity', 'price']","['taste good quantity very low', 'Taste is very good but quantity is very very low😔😔', 'Taste was good but quantity was very low.']"
21,694,21_bad taste_taste bad_taste_taste good,"['bad taste', 'taste bad', 'taste', 'taste good', 'bad', 'taste taste', 'good taste', 'taste wasnt', 'taste recommended', 'poor taste']","['very bad taste 😔😔', 'bad taste bad experience', 'Very bad taste ,i’m not setisfied with taste…']"
22,688,22_ice_ice cream_cream_shake,"['ice', 'ice cream', 'cream', 'shake', 'icecream', 'fruit', 'melted', 'strawberry', 'fruit chat', 'chocolate']","['Ice Cream was good', 'this is not a peshawari ice cream', 'bst Ice cream shake Sargodha']"
23,652,23_taste quantity_taste quality_good taste_taste highly,"['taste quantity', 'taste quality', 'good taste', 'taste highly', 'taste', 'excellent taste', 'quantity taste', 'quality taste', 'quality', 'quantity']","['very good taste and quantity too.', 'good taste and quantity keep it up', 'good taste and quantity to much good .']"
24,607,24_beef_meat_pulao_steak,"['beef', 'meat', 'pulao', 'steak', 'ordered beef', 'good beef', 'cooked', 'piece', 'smell', 'boti']","['theirbis smeel in beef', 'Laghman is always paired with beef. ALWAYS!', 'there is no beef in beef pulao']"
25,591,25_drink_cola_juice_coke,"['drink', 'cola', 'juice', 'coke', 'pepsi', 'drinks', 'bottle', 'didnt', 'deal', 'send']","['Without drink', ""i don't get my drink"", 'the deal had 1 liter drink and I received a 345 ml drink']"
26,584,26_perfect_good perfect_good good_perfect good,"['perfect', 'good perfect', 'good good', 'perfect good', 'good great', 'good', 'great', 'great good', 'thing', 'good amazing']","['all good perfect', 'everything is good and perfect', 'All good perfect']"
27,573,27_food_quality food_food quality_food food,"['food', 'quality food', 'food quality', 'food food', 'bad food', 'food fresh', 'poor', 'quality', 'poor food', 'food bad']","['not a good quality food very bad quality food', 'not quality food', 'quality of food is poor']"
28,560,28_soup_hot sour_corn_sour,"['soup', 'hot sour', 'corn', 'sour', 'hot', 'thai', 'salty', 'salt', 'special', 'spilled']","['verybad soup', 'found cockroach in my soup', 'found a cockroach in the soup.']"
29,545,29_salad_raita salad_onions_raita,"['salad', 'raita salad', 'onions', 'raita', 'vegetables', 'onion', 'vegetable', 'veggies', 'tomatoes', 'add']","['salad kidhr h!?', 'salad sahikary basss', 'Salad is full of kidney beans only']"
30,533,30_cake_chocolate_lava_write,"['cake', 'chocolate', 'lava', 'write', 'pastry', 'damaged', 'slice', 'milk', 'cream', 'condition']","['cake was destroyed', 'this z not the Cadbury cake', 'german fudge cake>>>>']"
31,518,31_kabab_kebab_kababs_kebabs,"['kabab', 'kebab', 'kababs', 'kebabs', 'chapli', 'bun kabab', 'shami', 'bun', 'shami kabab', 'chapli kabab']","['very tasty kabab', 'tasty chapppal kabab . 😋', 'mazedar hain kabab']"
32,513,32_rider_good rider_rider good_riders,"['rider', 'good rider', 'rider good', 'riders', 'cooperative', 'rude', 'rider cooperative', 'behavior', 'rider delivered', 'delivered']","['Very humbel rider..', 'polite  rider', 'Rider was very well-mannered']"
33,483,33_best best_best_besttt_time best,"['best best', 'best', 'besttt', 'time best', 'bestest', 'falooda', 'faluda', 'usual', 'best deal', 'like best']","['Best! Best !!!', 'best best', 'Best best bestttt']"
34,481,34_packaging_packing_delivery_packaging good,"['packaging', 'packing', 'delivery', 'packaging good', 'taste packaging', 'good packing', 'packing taste', 'fast delivery', 'taste packing', 'nice packaging']","['Excellent packaging and good in taste', 'packaging is good and taste is also very good', 'everything was good accept packaging..']"
35,467,35_good quality_quality quantity_quality_quality good,"['good quality', 'quality quantity', 'quality', 'quality good', 'quantity quality', 'quantity good', 'quantity', 'excellent quality', 'best quality', 'good quantity']","['good quality and quantity', 'Good quality and quantity', 'good both in quality and quantity, keep it up👍']"
36,440,36_fries_loaded fries_loaded_na,"['fries', 'loaded fries', 'loaded', 'na', 'burger', 'ni', 'french', 'nai', 'jo', 'thay']","['Fries bht naram the', 'fries 🍟 nahi diy', 'clubsandwich acha tha but fries kam they']"
37,434,37_food_loved food_food delicious_food fresh,"['food', 'loved food', 'food delicious', 'food fresh', 'food good', 'food amazing', 'loved', 'good food', 'food really', 'food tasty']","['Loved the food', 'Loved the food', 'Loved the food! Fresh, tasty']"
38,431,38_definitely order_definitely_order_ordering,"['definitely order', 'definitely', 'order', 'ordering', 'second', 'time', 'ordered', 'delicious', 'second order', 'soon']","['It was very, very tasty and Inshallah I will definitely order next very soon.', 'Excellent taste.  will definitely order again.', 'The food was delicious! I’ll definitely order again. Highly recommended.']"
39,418,39_zinger_shawarma_zinger shawarma_shawarma good,"['zinger', 'shawarma', 'zinger shawarma', 'shawarma good', 'good zinger', 'zinger good', 'good shawarma', 'zinger roll', 'shawarmas', 'ordered zinger']","['zinger is very distasteful', 'That’s not even a zinger in it', 'excellent shawarma and zinger']"
40,413,40_oil_oily_good oily_oil used,"['oil', 'oily', 'good oily', 'oil used', 'use', 'used', 'oily taste', 'reduce', 'smell', 'extra']","['too much oil', 'Very Oil. Full of oil', 'too much oil. very oily.']"
41,404,41_zaberdast_hamesha_heaven_maze,"['zaberdast', 'hamesha', 'heaven', 'maze', 'owsome', 'mazedaar', 'cute', 'gd', 'lajawab', 'dalta']","['Hamesha ki tarhan behtreen 🤤🤤', 'Zaberdast. 😊😊', 'zaberdast 🔥❤️']"
42,401,42_taste amazing_taste good_loved taste_taste,"['taste amazing', 'taste good', 'loved taste', 'taste', 'good taste', 'loved', 'amazing', 'amazing taste', 'taste really', 'taste awesome']","['Quantity and taste were amazing!', 'Loved it! The taste as well as the proportions were great!', 'quantity was so good. taste was amazing too.']"
43,374,43_chowmein_chowmin_chow_chowmein good,"['chowmein', 'chowmin', 'chow', 'chowmein good', 'chowmien', 'chowmen', 'spicy', 'vinegar', 'ramen', 'sauce']","['bht farg chowmein', 'good chowmein', 'Good chowmein']"
44,369,44_test_good test_test good_testy,"['test', 'good test', 'test good', 'testy', 'fazol', 'good', 'nice good', 'nice', 'gud', 'testless']","['xyz test all rights good', 'good test to. very good', 'excellent test very good test 👍']"
45,368,45_good bad_bad good_good good_mark,"['good bad', 'bad good', 'good good', 'mark', 'good time', 'good', 'bad', 'didnt like', 'expected', 'wasnt good']","['good not bad', 'Good not bad', 'Not good not bad']"
46,367,46_good good_good nice_good_pretty,"['good good', 'good nice', 'good', 'pretty', 'pretty good', 'nice good', 'cool', 'soo good', 'nice', 'good soo']","['Good good good', 'Good good', 'good is good']"
47,353,47_salt_salty_bit salty_bit,"['salt', 'salty', 'bit salty', 'bit', 'add salt', 'salty taste', 'excessive', 'high', 'little', 'salted']","['Too much salt.', 'too much salt', 'too much salt']"
48,342,48_bread_toast_french toast_french,"['bread', 'toast', 'french toast', 'french', 'bread fresh', 'bun', 'biscuits', 'stale', 'hard', 'bun fresh']","['french toast is expensive, 100rs for one bread piece seriously ?', 'the bread is always good', 'French toast were too soggy and the bread you used was so thick the last time i ordered your bread was crispy.']"
49,340,49_pulao_matar_chana_savour,"['pulao', 'matar', 'chana', 'savour', 'kabuli', 'murgh', 'best', 'puri', 'yakhni pulao', 'yakhni']","['Only pulao was good', 'Pulao ⭐️⭐⭐️⭐️⭐️', 'Zabardast pulao and custard']"
50,324,50_good good_good__,"['good good', 'good', '', '', '', '', '', '', '', '']","['good', 'good', 'good']"
51,290,51_bad experience_disappointed_bad_experience,"['bad experience', 'disappointed', 'bad', 'experience', 'di', 'disappointed bad', 'wo', 'ap', 'bhej', 'experience bad']","['2 biryani order ki thi 1 revive hoi na hi spone add ki very bad experience', 'paratha mangwaya tha inho ne sada roti bhej di wo b kachii very bad experience baji Ayesha', 'Kuch b acha nai tha bad experience']"
52,289,52_naan_ordered_received_send,"['naan', 'ordered', 'received', 'send', 'sent', 'paratha', 'delivered', 'chanay', 'chana', 'instead']","['I Ordered Roti. they sent Naan.', 'I ordered four naan...but received three naan', 'Received two naan when i had ordered three.']"
53,286,53_tea_cup_teast_cups,"['tea', 'cup', 'teast', 'cups', 'sugar', 'fantastic', 'boba', 'plastic', 'bag', 'plastic bag']","['sugqr in tea is to much', 'tea was colder', 'Fly in tea']"
54,284,54_packaging_bag_spilled_packing,"['packaging', 'bag', 'spilled', 'packing', 'plastic', 'poor packaging', 'packed', 'poor', 'shopper', 'packing good']","['spilled packaging...', 'Spilled. Poor packaging', 'Poor packaging. Everything in 1 shopping bag.']"
55,274,55_quantity_quantity quantity_km_kg,"['quantity', 'quantity quantity', 'km', 'kg', 'rate', 'thori', 'itni', 'quantity thori', 'ha', 'kum']","['quantity bht kam thi', 'quantity bht Kam hai', 'quantity bohat Kam h']"
56,270,56_coffee_cup_latte_iced,"['coffee', 'cup', 'latte', 'iced', 'spilled', 'ice', 'frappe', 'croissant', 'milk', 'half']","['wonderfull coffee!', 'My go-to for coffee.', 'Coffee was so less']"
57,259,57_experience good_good experience_experience_great experience,"['experience good', 'good experience', 'experience', 'great experience', 'experience great', 'amazing experience', 'wonderful experience', 'experience amazing', 'best experience', 'nice experience']","['all over experience is good.', 'Experience was good', 'experience was good']"
58,257,58_nice_nicely_achar_,"['nice', 'nicely', 'achar', '', '', '', '', '', '', '']","['nice', 'nice', 'nice nasta']"
59,253,59_worst_experience worst_worst experience_worst worst,"['worst', 'experience worst', 'worst experience', 'worst worst', 'experience', 'worse', 'day', 'money worst', 'getting', 'branch']","['Worst experience..', 'Worst experience.', 'Worst experience once again. WORST WORST!!!!']"
60,251,60_roti_roti good_rotis_wheat,"['roti', 'roti good', 'rotis', 'wheat', 'flour', 'homemade', 'home', 'soft', 'hard', 'cooked']","['Roti isn’t good', 'the roti was not all roti', 'Roti was thandee and kachee']"
61,250,61_highly_recommend_highly recommended_highly recommend,"['highly', 'recommend', 'highly recommended', 'highly recommend', 'recommended', 'recommended best', '100', 'good highly', 'amazing highly', '100 recommended']","['highly recommend', 'highly highly recommended ♥️', 'Highly highly recommended 🔥✨❤️']"
62,249,62_order_definitely_good order_definitely order,"['order', 'definitely', 'good order', 'definitely order', 'ordering', 'order order', 'order ordered', 'order good', 'time', 'loved']","['Will order again!', 'will order again', 'Owsaaammm i will must order again']"
63,247,63_1010_10_good 1010_910,"['1010', '10', 'good 1010', '910', '10 10', '109', '610', '810', '55', '710']","['Biryani 10/10\nPulao 9/10\nHaleem 7/10', 'Biryani 2/10  .  Rasmalai 10/10', 'Barfi 10/10.  Jaman 10/9.   Kheer10/4.  Slanty10/1']"
64,245,64_waste_waste money_money_money waste,"['waste', 'waste money', 'money', 'money waste', 'bura', 'totally waste', 'fazool', 'total waste', 'ganda', 'total']","['waste of money. try Zam Zam biryani 👍', 'no hlwa   waste of money will mot order again ever', 'koi taste Nahi Barani Ka waste of Money😭']"
65,241,65_good food_great good_average_food average,"['good food', 'great good', 'average', 'food average', 'average good', 'great', 'food good', 'tasty good', 'food great', 'food']","['Good food', 'Good food', 'Good food']"
66,235,66_good good_good_goodd_prathy,"['good good', 'good', 'goodd', 'prathy', 'ty', '', '', '', '', '']","['Good', 'Good', 'Good']"
67,233,67_bad bad_bad_bad really_really bad,"['bad bad', 'bad', 'bad really', 'really bad', 'bad shawarma', 'response', 'shame', 'soo bad', 'extremely bad', 'oder']","['very bad very very very bad', 'very bad very bad', 'Bad bad bad']"
68,226,68_good good_good__,"['good good', 'good', '', '', '', '', '', '', '', '']","['good', 'good', 'good']"
69,223,69_money waste_waste_waste money_money,"['money waste', 'waste', 'waste money', 'money', 'total waste', 'wasted', 'money totally', 'total', 'totally waste', 'money bad']","['Money waste', 'Money waste', 'money waste']"
70,216,70_brownie_brownies_chocolate_nutella,"['brownie', 'brownies', 'chocolate', 'nutella', 'sundae', 'loved', 'tasted', 'burnt', 'definitely', 'patties']","['Brownie was no fresh', 'brownie not good', 'The brownie is of of the best brownies I have ever tried.']"
71,215,71_price_reasonable_taste reasonable_reasonable price,"['price', 'reasonable', 'taste reasonable', 'reasonable price', 'taste price', 'price good', 'prices', 'price taste', 'good taste', 'good price']","['Good taste, reasonable price', 'v good taste n v reasonable price 👌', 'Good taste in reasonable price']"
72,213,72_sauce_sauces_sauce good_extra sauce,"['sauce', 'sauces', 'sauce good', 'extra sauce', 'good sauce', 'sauce quantity', 'add sauce', 'dry', 'sauce taste', 'add']","['Sauce was too off', 'No sauce', 'sauce should be more']"
73,199,73_wings_hot_honey_ordered,"['wings', 'hot', 'honey', 'ordered', 'buffalo', 'salsa', 'baked', 'oven', 'fried', 'bucket']","['Wings were too good', 'wings were not good at all ..and croquettes are also from k&ns .. !', 'Wings was so deligious😋']"
74,198,74_smelly_smell_bad smell_smells,"['smelly', 'smell', 'bad smell', 'smells', 'smell bad', 'smelling', 'rotten', 'old', 'bad', 'smelled']","['Smelly food', 'food is so smelly 😩', 'the food was smelly']"
75,198,75_price_good price_price good_prices,"['price', 'good price', 'price good', 'prices', 'reasonable', 'affordable', 'price bit', 'high', 'best price', 'discount']","['Good in the price', 'It was good for price', 'good in price']"
76,193,76_average_excellent food_food average_excellent,"['average', 'excellent food', 'food average', 'excellent', 'just average', 'food excellent', 'food', 'falooda', 'standard', 'rated']","['Average.', 'Everything was average.', 'everything is average']"
77,193,77_thank_thanks_thankyou_appreciate,"['thank', 'thanks', 'thankyou', 'appreciate', 'appreciated', 'good thanks', 'thanks lot', 'brother', 'excellent', 'good thank']","['thank u 😊', 'thank you', 'thank you']"
78,189,78_fresh fresh_fresh_fresh good_nice fresh,"['fresh fresh', 'fresh', 'fresh good', 'nice fresh', 'good fresh', 'quality fresh', 'fresh crispy', 'crispy', 'nice', 'refreshing']","['So fresh', 'fresh', 'Fresh as always! alsoo paties was good and fresh too']"
79,188,79_allah_masha allah_masha_sha allah,"['allah', 'masha allah', 'masha', 'sha allah', 'sha', 'ameen', 'bless', 'allah bless', 'barkat', 'business']","['very tasty Masha Allah 👍', 'WS! Kabab Masala was so delicious. Roti b behtreen thin. Masha ALLAH, Sawaiyaan (Compelimenty) lazeez.  In shaa Allah will order again. Allah pak aap k is business me Barkat dalen. Ameen, Jazak ALLAH', 'Masha Allah very delicious 😋Allah tallah kamiyabi atta kry']"
80,187,80_size_small_size small_small size,"['size', 'small', 'size small', 'small size', 'portion size', 'portion', 'small portion', 'short', 'size bit', 'serving size']","['but size was too small', 'size is too small', 'size was small']"
81,178,81_price_hisab_km_thori,"['price', 'hisab', 'km', 'thori', 'discount', 'itni', 'hisaab', 'sy', 'high', 'quantity']","['price bht h', 'price k acccording. acha tha', 'price k hisab se acha h']"
82,177,82_dumplings_chilli_oil_steamed,"['dumplings', 'chilli', 'oil', 'steamed', 'sauce', 'pan', 'hotpot', 'filling', 'dynamite', 'fried']","['Always a pleasure. yummiet dumplings', 'chckn dumplings were very flaovourful ..', 'nicest dumplings I have had in a while']"
83,177,83_restaurant_restaurant good_restaurants_cafe,"['restaurant', 'restaurant good', 'restaurants', 'cafe', 'favorite', 'best', 'restaurant taste', 'order restaurant', 'food', 'favourite']","['once of the finest restaurant of maymar', 'where is this restaurant located', 'pertatic restaurant']"
84,176,84_tasteless_taste tasteless_tasteless taste_tastless,"['tasteless', 'taste tasteless', 'tasteless taste', 'tastless', 'taste taste', 'useless', 'taste', 'tasteless dont', 'taste absolutely', 'briyani']","['tasteless', 'tasteless', 'tasteless']"
85,174,85_chef_home chef_home_best home,"['chef', 'home chef', 'home', 'best home', 'kitchen', 'chefs', 'best', 'homechef', 'home chefs', 'town']","['one of the best home chef 🖤', 'Best home chef I ever found here 🌟', 'Best one in home chef’s']"
86,173,86_money_waste money_waste_taste waste,"['money', 'waste money', 'waste', 'taste waste', 'money taste', 'money bad', 'tasteless', 'bad taste', 'wastage money', 'wastage']","['tasteless ........... waste of money', 'no booti , tasteless. waste of money', 'Tasteless, waste of money.']"
87,170,87_delivery_fast delivery_fast_delivery fast,"['delivery', 'fast delivery', 'fast', 'delivery fast', 'delivery good', 'quick delivery', 'quick', 'good delivery', 'timely', 'delivery boy']","['Good and fast delivery 🚚', 'Too good and fast delivery 🚚', 'good and fast delivery']"
88,169,88_loved_enjoyed_amazing loved_loved good,"['loved', 'enjoyed', 'amazing loved', 'loved good', 'just loved', 'good loved', 'awesome loved', 'good enjoyed', 'absolutely loved', 'love']","['I loved it', 'loved it', 'loved it']"
89,166,89_ketchup_tissue_tissues_ketchups,"['ketchup', 'tissue', 'tissues', 'ketchups', 'good ketchup', 'add', 'packets', 'sauce', 'ketchup mayo', 'extra']","['no ketchup', 'there was no ketchup.', 'too much ketchup.']"
90,165,90_allah_masha_masha allah_sha,"['allah', 'masha', 'masha allah', 'sha', 'sha allah', 'barkat', 'ameen', 'allah bless', 'bless', 'jazakallah']","['Masha Allah 💗', 'zabardast Masha Allah', 'subhan Allah. masha Allah. 💯']"
91,164,91_nice_tasty nice_nice tasty_tasty recommended,"['nice', 'tasty nice', 'nice tasty', 'tasty recommended', 'awesome', 'nice good', 'recommended tasty', 'tasty', 'awesome tasty', 'good tasty']","['Nice', 'Nice', 'Nice']"
92,161,92_service_good service_service good_services,"['service', 'good service', 'service good', 'services', 'quick', 'staff', 'fast', 'serving good', 'serving', 'good']","['good service', 'good service', 'good service']"
93,160,93_good good_just good_good just_good,"['good good', 'just good', 'good just', 'good', 'quite good', 'just', 'quite', 'surprisingly', 'unique', '']","['just good', 'Just good', 'Just good']"
94,159,94_best best_best good_best_taste best,"['best best', 'best good', 'best', 'taste best', 'good taste', 'taste good', 'taste', 'good', 'hn', '']","['Best', 'Best', 'Best']"
95,156,95_excellent_yummy excellent_overall_yummy,"['excellent', 'yummy excellent', 'overall', 'yummy', '', '', '', '', '', '']","['excellent', 'excellent', 'excellent']"
96,156,96_favorite_love_favourite_time favourite,"['favorite', 'love', 'favourite', 'time favourite', 'like', 'absolutely love', 'time', 'really like', 'really love', 'just like']","['All time favorite ❤️', 'all time favorite 💞', 'all time favorite ♥️']"
97,153,97_cheese_cheese paratha_chicken cheese_paratha,"['cheese', 'cheese paratha', 'chicken cheese', 'paratha', 'naam', 'hi', 'nh', 'roll', 'dali', 'kia']","['Cheese nahi thi,', 'is me cheese kahin bhi nhi thi', 'Cheese wala prataha bkwaas tha']"
98,151,98_delicious delicious_delicious_simply_time delicious,"['delicious delicious', 'delicious', 'simply', 'time delicious', 'al', 'recomended', 'handi', 'time', '', '']","['delicious', 'delicious', 'delicious']"
99,150,99_experience bad_bad experience_experience_bad,"['experience bad', 'bad experience', 'experience', 'bad', 'experience good', 'horrible experience', 'experience time', 'experince', 'good bad', 'quality bad']","['very bad experience👎', 'Too much bad experience 😣', 'very bad experience 💔🥺']"
100,145,100_delicious_yummy_tasty_tasty yummy,"['delicious', 'yummy', 'tasty', 'tasty yummy', 'delicious delicious', 'delicious tasty', 'loved', 'yummy delicious', 'yummm', 'tasty delicious']","['Was delicious 😋', 'it was so tasty yummy deliciou', ""it's was very tasty and yummy""]"
101,144,101_hair_hairs_hygiene_inside,"['hair', 'hairs', 'hygiene', 'inside', 'disgusting', 'times', 'unhygienic', 'paratha', 'saw', 'food']","['found a hair in it', 'I found hair in chanaaa', 'There was a hair']"
102,140,102_leg_chest_leg piece_piece,"['leg', 'chest', 'leg piece', 'piece', 'chest piece', 'breast', 'pieces', 'tikka', 'ordered', 'sent']","['delivered leg piece i ordered chest piece 🤷', 'we order chest piece but recvd leg piece', 'i ordered leg piece, but they deliveted chest piece.']"
103,138,103_cold_food cold_frozen_food,"['cold', 'food cold', 'frozen', 'food', 'took', 'served', 'arrived', 'coldrink', 'completely', 'food served']","['the order was cold.', 'Order was cold.', 'cold.tstlesd']"
104,138,104_town_town best_best town_best,"['town', 'town best', 'best town', 'best', 'city', 'johar', 'shawarma', 'branch', 'recommended best', 'place']","['best in town ⭐⭐⭐⭐⭐', 'Best in town', 'Best in Town']"
105,137,105_egg_eggs_omelette_fried,"['egg', 'eggs', 'omelette', 'fried', 'omelet', 'boiled', 'paratha', 'anda', 'salt', 'ordered']","['no egg. but it was nice.', 'egg small', 'it was not 2 eggs scramled. just one egg tha.']"
106,136,106_food_taste food_fresh food_food good,"['food', 'taste food', 'fresh food', 'food good', 'food taste', 'taste fresh', 'good taste', 'quality food', 'good food', 'taste']","['Taste and food both are good', 'Fresh food and good taste!', 'fresh food good taste']"
107,136,107_ok ok_good ok_ok_ok good,"['ok ok', 'good ok', 'ok', 'ok good', 'good good', 'okayish', 'good', 'okay good', 'alright', 'okay']","['ok', 'ok', 'Ok']"
108,135,108_smell_kharab_rhi_arhi,"['smell', 'kharab', 'rhi', 'arhi', 'aa', 'smell arhi', 'smelly', 'rahi', 'aa rhi', 'khrab']","['roll main se smell aarahi the', 'smell wala Tha zinger', 'biryani kharab thi and smell bhi Ari thi']"
109,135,109_perfect_usual_perfection_good usual,"['perfect', 'usual', 'perfection', 'good usual', 'perfect good', 'satisfied', 'thank', 'just perfect', 'happy', 'yum']","['Perfect 😋', 'perfect 👍', 'perfect always.']"
110,133,110_delivery_fast_fast delivery_quick delivery,"['delivery', 'fast', 'fast delivery', 'quick delivery', 'delivery fast', 'quick', 'delivery good', 'food', 'good delivery', 'timely']","['fast delivery ,food was good', 'very tasty and fast delivery', 'delicious...fast delivery']"
111,129,111_donut_chocolate_sent wrong_wrong,"['donut', 'chocolate', 'sent wrong', 'wrong', 'stale', 'fresh', 'lotus', 'sent', 'ordered', 'flavours']","[""didn't received the donut i ordered"", ""The donut was not a nutella filling donut, it was a sprinkled donut, and it wasn't even fresh.😑"", 'The donut wasn’t fresh again']"
112,129,112_wrap_wraps_wrap good_sauce,"['wrap', 'wraps', 'wrap good', 'sauce', 'make', 'sauces', 'paper', 'good sauce', 'wrapped', 'good today']","['Best wrap', 'Best wrap everrr', 'good wrap']"
113,129,113_rice_thay_hu_basi,"['rice', 'thay', 'hu', 'basi', 'fried rice', 'white', 'quantity itni', 'kha', 'shashlik', 'ni']","['kabab bilkul Acha nai tha rice Acha tha', 'rice ki contati bht Kam hai ....wesy well N good', 'rice me rice k kery mry v thy']"
